"long","lat","time","events","event"
148.961941,-35.221976,9,0,0
148.971941,-35.221976,9,0,0
148.981941,-35.221976,9,0,0
148.991941,-35.221976,9,0,0
149.001941,-35.221976,9,0,0
149.011941,-35.221976,9,0,0
149.021941,-35.221976,9,0,0
149.031941,-35.221976,9,0,0
149.041941,-35.221976,9,0,0
149.051941,-35.221976,9,0,0
149.061941,-35.221976,9,0,0
149.071941,-35.221976,9,0,0
149.081941,-35.221976,9,0,0
149.091941,-35.221976,9,0,0
149.101941,-35.221976,9,0,0
149.111941,-35.221976,9,0,0
149.121941,-35.221976,9,0,0
149.131941,-35.221976,9,1,1
149.141941,-35.221976,9,0,0
149.151941,-35.221976,9,0,0
149.161941,-35.221976,9,0,0
149.171941,-35.221976,9,0,0
149.181941,-35.221976,9,0,0
149.191941,-35.221976,9,0,0
149.201941,-35.221976,9,0,0
149.211941,-35.221976,9,0,0
149.221941,-35.221976,9,0,0
148.931941,-35.211976,9,0,0
148.941941,-35.211976,9,0,0
148.951941,-35.211976,9,0,0
148.961941,-35.211976,9,0,0
148.971941,-35.211976,9,0,0
148.981941,-35.211976,9,0,0
148.991941,-35.211976,9,0,0
149.001941,-35.211976,9,0,0
149.011941,-35.211976,9,0,0
149.021941,-35.211976,9,0,0
149.031941,-35.211976,9,0,0
149.041941,-35.211976,9,0,0
149.051941,-35.211976,9,0,0
149.061941,-35.211976,9,0,0
149.071941,-35.211976,9,0,0
149.081941,-35.211976,9,0,0
149.091941,-35.211976,9,0,0
149.101941,-35.211976,9,0,0
149.111941,-35.211976,9,0,0
149.121941,-35.211976,9,0,0
149.131941,-35.211976,9,0,0
149.141941,-35.211976,9,1,1
149.151941,-35.211976,9,0,0
149.161941,-35.211976,9,0,0
149.171941,-35.211976,9,0,0
149.181941,-35.211976,9,0,0
149.191941,-35.211976,9,0,0
149.201941,-35.211976,9,0,0
149.211941,-35.211976,9,0,0
149.221941,-35.211976,9,0,0
148.931941,-35.201976,9,0,0
148.941941,-35.201976,9,0,0
148.951941,-35.201976,9,0,0
148.961941,-35.201976,9,0,0
148.971941,-35.201976,9,0,0
148.981941,-35.201976,9,0,0
148.991941,-35.201976,9,0,0
149.001941,-35.201976,9,0,0
149.011941,-35.201976,9,0,0
149.021941,-35.201976,9,0,0
149.031941,-35.201976,9,0,0
149.041941,-35.201976,9,0,0
149.051941,-35.201976,9,0,0
149.061941,-35.201976,9,0,0
149.071941,-35.201976,9,0,0
149.081941,-35.201976,9,0,0
149.091941,-35.201976,9,1,1
149.101941,-35.201976,9,0,0
149.111941,-35.201976,9,0,0
149.121941,-35.201976,9,0,0
149.131941,-35.201976,9,0,0
149.141941,-35.201976,9,0,0
149.151941,-35.201976,9,0,0
149.161941,-35.201976,9,0,0
149.171941,-35.201976,9,0,0
149.181941,-35.201976,9,0,0
149.191941,-35.201976,9,0,0
149.201941,-35.201976,9,0,0
149.211941,-35.201976,9,0,0
149.221941,-35.201976,9,0,0
148.931941,-35.191976,9,0,0
148.941941,-35.191976,9,0,0
148.951941,-35.191976,9,0,0
148.961941,-35.191976,9,0,0
148.971941,-35.191976,9,0,0
148.981941,-35.191976,9,0,0
148.991941,-35.191976,9,0,0
149.001941,-35.191976,9,0,0
149.011941,-35.191976,9,0,0
149.021941,-35.191976,9,0,0
149.031941,-35.191976,9,1,1
149.041941,-35.191976,9,0,0
149.051941,-35.191976,9,0,0
149.061941,-35.191976,9,0,0
149.071941,-35.191976,9,0,0
149.081941,-35.191976,9,1,1
149.091941,-35.191976,9,0,0
149.101941,-35.191976,9,0,0
149.111941,-35.191976,9,0,0
149.121941,-35.191976,9,0,0
149.131941,-35.191976,9,0,0
149.141941,-35.191976,9,0,0
149.151941,-35.191976,9,0,0
149.161941,-35.191976,9,0,0
149.171941,-35.191976,9,0,0
149.181941,-35.191976,9,0,0
149.191941,-35.191976,9,0,0
149.201941,-35.191976,9,0,0
149.211941,-35.191976,9,0,0
149.221941,-35.191976,9,0,0
148.931941,-35.181976,9,0,0
148.941941,-35.181976,9,0,0
148.951941,-35.181976,9,0,0
148.961941,-35.181976,9,0,0
148.971941,-35.181976,9,0,0
148.981941,-35.181976,9,0,0
148.991941,-35.181976,9,0,0
149.001941,-35.181976,9,0,0
149.011941,-35.181976,9,0,0
149.021941,-35.181976,9,0,0
149.031941,-35.181976,9,0,0
149.041941,-35.181976,9,0,0
149.051941,-35.181976,9,0,0
149.061941,-35.181976,9,0,0
149.071941,-35.181976,9,0,0
149.081941,-35.181976,9,0,0
149.091941,-35.181976,9,0,0
149.101941,-35.181976,9,0,0
149.111941,-35.181976,9,0,0
149.121941,-35.181976,9,0,0
149.131941,-35.181976,9,0,0
149.141941,-35.181976,9,0,0
149.151941,-35.181976,9,0,0
149.161941,-35.181976,9,0,0
149.171941,-35.181976,9,0,0
149.181941,-35.181976,9,0,0
149.191941,-35.181976,9,0,0
149.201941,-35.181976,9,0,0
149.211941,-35.181976,9,0,0
149.221941,-35.181976,9,0,0
148.931941,-35.171976,9,0,0
148.941941,-35.171976,9,0,0
148.951941,-35.171976,9,0,0
148.961941,-35.171976,9,0,0
148.971941,-35.171976,9,0,0
148.981941,-35.171976,9,0,0
148.991941,-35.171976,9,0,0
149.001941,-35.171976,9,0,0
149.011941,-35.171976,9,0,0
149.021941,-35.171976,9,0,0
149.031941,-35.171976,9,0,0
149.041941,-35.171976,9,0,0
149.051941,-35.171976,9,0,0
149.061941,-35.171976,9,0,0
149.071941,-35.171976,9,0,0
149.081941,-35.171976,9,0,0
149.091941,-35.171976,9,0,0
149.101941,-35.171976,9,0,0
149.111941,-35.171976,9,0,0
149.121941,-35.171976,9,0,0
149.131941,-35.171976,9,0,0
149.141941,-35.171976,9,0,0
149.151941,-35.171976,9,0,0
149.161941,-35.171976,9,0,0
149.171941,-35.171976,9,0,0
149.181941,-35.171976,9,0,0
149.191941,-35.171976,9,0,0
149.201941,-35.171976,9,0,0
149.211941,-35.171976,9,0,0
149.221941,-35.171976,9,0,0
148.931941,-35.161976,9,0,0
148.941941,-35.161976,9,0,0
148.951941,-35.161976,9,0,0
148.961941,-35.161976,9,0,0
148.971941,-35.161976,9,0,0
148.981941,-35.161976,9,0,0
148.991941,-35.161976,9,0,0
149.001941,-35.161976,9,0,0
149.011941,-35.161976,9,0,0
149.021941,-35.161976,9,0,0
149.031941,-35.161976,9,0,0
149.041941,-35.161976,9,0,0
149.051941,-35.161976,9,0,0
149.061941,-35.161976,9,0,0
149.071941,-35.161976,9,0,0
149.081941,-35.161976,9,0,0
149.091941,-35.161976,9,0,0
149.101941,-35.161976,9,1,1
149.111941,-35.161976,9,0,0
149.121941,-35.161976,9,0,0
149.131941,-35.161976,9,0,0
149.141941,-35.161976,9,0,0
149.151941,-35.161976,9,0,0
149.161941,-35.161976,9,0,0
149.171941,-35.161976,9,0,0
149.181941,-35.161976,9,0,0
149.191941,-35.161976,9,0,0
149.201941,-35.161976,9,0,0
149.211941,-35.161976,9,0,0
149.221941,-35.161976,9,0,0
148.931941,-35.471976,10,0,0
148.941941,-35.471976,10,0,0
148.951941,-35.471976,10,0,0
148.961941,-35.471976,10,0,0
148.971941,-35.471976,10,0,0
148.981941,-35.471976,10,0,0
148.991941,-35.471976,10,0,0
149.001941,-35.471976,10,0,0
149.011941,-35.471976,10,0,0
149.021941,-35.471976,10,0,0
149.031941,-35.471976,10,0,0
149.041941,-35.471976,10,0,0
149.051941,-35.471976,10,0,0
149.061941,-35.471976,10,0,0
149.071941,-35.471976,10,0,0
149.081941,-35.471976,10,0,0
149.091941,-35.471976,10,0,0
149.101941,-35.471976,10,0,0
149.111941,-35.471976,10,0,0
149.121941,-35.471976,10,0,0
149.131941,-35.471976,10,0,0
149.141941,-35.471976,10,0,0
149.151941,-35.471976,10,0,0
149.161941,-35.471976,10,0,0
149.171941,-35.471976,10,0,0
149.181941,-35.471976,10,0,0
149.191941,-35.471976,10,0,0
149.201941,-35.471976,10,0,0
149.211941,-35.471976,10,0,0
149.221941,-35.471976,10,0,0
148.931941,-35.461976,10,0,0
148.941941,-35.461976,10,0,0
148.951941,-35.461976,10,0,0
148.961941,-35.461976,10,0,0
148.971941,-35.461976,10,0,0
148.981941,-35.461976,10,0,0
148.991941,-35.461976,10,0,0
149.001941,-35.461976,10,0,0
149.011941,-35.461976,10,0,0
149.021941,-35.461976,10,0,0
149.031941,-35.461976,10,0,0
149.041941,-35.461976,10,0,0
149.051941,-35.461976,10,0,0
149.061941,-35.461976,10,0,0
149.071941,-35.461976,10,0,0
149.081941,-35.461976,10,0,0
149.091941,-35.461976,10,0,0
149.101941,-35.461976,10,0,0
149.111941,-35.461976,10,0,0
149.121941,-35.461976,10,0,0
149.131941,-35.461976,10,0,0
149.141941,-35.461976,10,0,0
149.151941,-35.461976,10,0,0
149.161941,-35.461976,10,0,0
149.171941,-35.461976,10,0,0
149.181941,-35.461976,10,0,0
149.191941,-35.461976,10,0,0
149.201941,-35.461976,10,0,0
149.211941,-35.461976,10,0,0
149.221941,-35.461976,10,0,0
148.931941,-35.451976,10,0,0
148.941941,-35.451976,10,0,0
148.951941,-35.451976,10,0,0
148.961941,-35.451976,10,0,0
148.971941,-35.451976,10,0,0
148.981941,-35.451976,10,0,0
148.991941,-35.451976,10,0,0
149.001941,-35.451976,10,0,0
149.011941,-35.451976,10,0,0
149.021941,-35.451976,10,0,0
149.031941,-35.451976,10,0,0
149.041941,-35.451976,10,0,0
149.051941,-35.451976,10,0,0
149.061941,-35.451976,10,0,0
149.071941,-35.451976,10,0,0
149.081941,-35.451976,10,1,1
149.091941,-35.451976,10,0,0
149.101941,-35.451976,10,0,0
149.111941,-35.451976,10,0,0
149.121941,-35.451976,10,0,0
149.131941,-35.451976,10,0,0
149.141941,-35.451976,10,0,0
149.151941,-35.451976,10,0,0
149.161941,-35.451976,10,0,0
149.171941,-35.451976,10,0,0
149.181941,-35.451976,10,0,0
149.191941,-35.451976,10,0,0
149.201941,-35.451976,10,0,0
149.211941,-35.451976,10,0,0
149.221941,-35.451976,10,0,0
148.931941,-35.441976,10,0,0
148.941941,-35.441976,10,0,0
148.951941,-35.441976,10,0,0
148.961941,-35.441976,10,0,0
148.971941,-35.441976,10,0,0
148.981941,-35.441976,10,0,0
148.991941,-35.441976,10,0,0
149.001941,-35.441976,10,0,0
149.011941,-35.441976,10,0,0
149.021941,-35.441976,10,0,0
149.031941,-35.441976,10,0,0
149.041941,-35.441976,10,0,0
149.051941,-35.441976,10,0,0
149.061941,-35.441976,10,0,0
149.071941,-35.441976,10,0,0
149.081941,-35.441976,10,0,0
149.091941,-35.441976,10,0,0
149.101941,-35.441976,10,0,0
149.111941,-35.441976,10,0,0
149.121941,-35.441976,10,0,0
149.131941,-35.441976,10,1,1
149.141941,-35.441976,10,0,0
149.151941,-35.441976,10,0,0
149.161941,-35.441976,10,0,0
149.171941,-35.441976,10,0,0
149.181941,-35.441976,10,0,0
149.191941,-35.441976,10,0,0
149.201941,-35.441976,10,0,0
149.211941,-35.441976,10,0,0
149.221941,-35.441976,10,0,0
148.931941,-35.431976,10,0,0
148.941941,-35.431976,10,0,0
148.951941,-35.431976,10,0,0
148.961941,-35.431976,10,0,0
148.971941,-35.431976,10,0,0
148.981941,-35.431976,10,0,0
148.991941,-35.431976,10,0,0
149.001941,-35.431976,10,0,0
149.011941,-35.431976,10,0,0
149.021941,-35.431976,10,0,0
149.031941,-35.431976,10,0,0
149.041941,-35.431976,10,0,0
149.051941,-35.431976,10,0,0
149.061941,-35.431976,10,0,0
149.071941,-35.431976,10,0,0
149.081941,-35.431976,10,0,0
149.091941,-35.431976,10,0,0
149.101941,-35.431976,10,0,0
149.111941,-35.431976,10,0,0
149.121941,-35.431976,10,0,0
149.131941,-35.431976,10,0,0
149.141941,-35.431976,10,0,0
149.151941,-35.431976,10,0,0
149.161941,-35.431976,10,0,0
149.171941,-35.431976,10,0,0
149.181941,-35.431976,10,0,0
149.191941,-35.431976,10,0,0
149.201941,-35.431976,10,0,0
149.211941,-35.431976,10,0,0
149.221941,-35.431976,10,0,0
148.931941,-35.421976,10,0,0
148.941941,-35.421976,10,0,0
148.951941,-35.421976,10,0,0
148.961941,-35.421976,10,0,0
148.971941,-35.421976,10,0,0
148.981941,-35.421976,10,0,0
148.991941,-35.421976,10,0,0
149.001941,-35.421976,10,0,0
149.011941,-35.421976,10,0,0
149.021941,-35.421976,10,0,0
149.031941,-35.421976,10,0,0
149.041941,-35.421976,10,0,0
149.051941,-35.421976,10,0,0
149.061941,-35.421976,10,0,0
149.071941,-35.421976,10,0,0
149.081941,-35.421976,10,0,0
149.091941,-35.421976,10,0,0
149.101941,-35.421976,10,0,0
149.111941,-35.421976,10,0,0
149.121941,-35.421976,10,0,0
149.131941,-35.421976,10,0,0
149.141941,-35.421976,10,0,0
149.151941,-35.421976,10,0,0
149.161941,-35.421976,10,0,0
149.171941,-35.421976,10,0,0
149.181941,-35.421976,10,0,0
149.191941,-35.421976,10,0,0
149.201941,-35.421976,10,0,0
149.211941,-35.421976,10,0,0
149.221941,-35.421976,10,0,0
148.931941,-35.411976,10,0,0
148.941941,-35.411976,10,0,0
148.951941,-35.411976,10,0,0
148.961941,-35.411976,10,0,0
148.971941,-35.411976,10,0,0
148.981941,-35.411976,10,0,0
148.991941,-35.411976,10,0,0
149.001941,-35.411976,10,0,0
149.011941,-35.411976,10,0,0
149.021941,-35.411976,10,0,0
149.031941,-35.411976,10,0,0
149.041941,-35.411976,10,0,0
149.051941,-35.411976,10,0,0
149.061941,-35.411976,10,0,0
149.071941,-35.411976,10,0,0
149.081941,-35.411976,10,0,0
149.091941,-35.411976,10,0,0
149.101941,-35.411976,10,0,0
149.111941,-35.411976,10,0,0
149.121941,-35.411976,10,0,0
149.131941,-35.411976,10,0,0
149.141941,-35.411976,10,0,0
149.151941,-35.411976,10,0,0
149.161941,-35.411976,10,0,0
149.171941,-35.411976,10,0,0
149.181941,-35.411976,10,0,0
149.191941,-35.411976,10,0,0
149.201941,-35.411976,10,0,0
149.211941,-35.411976,10,0,0
149.221941,-35.411976,10,0,0
148.931941,-35.401976,10,0,0
148.941941,-35.401976,10,0,0
148.951941,-35.401976,10,0,0
148.961941,-35.401976,10,0,0
148.971941,-35.401976,10,0,0
148.981941,-35.401976,10,0,0
148.991941,-35.401976,10,0,0
149.001941,-35.401976,10,0,0
149.011941,-35.401976,10,0,0
149.021941,-35.401976,10,0,0
149.031941,-35.401976,10,0,0
149.041941,-35.401976,10,0,0
149.051941,-35.401976,10,0,0
149.061941,-35.401976,10,0,0
149.071941,-35.401976,10,0,0
149.081941,-35.401976,10,0,0
149.091941,-35.401976,10,0,0
149.101941,-35.401976,10,0,0
149.111941,-35.401976,10,0,0
149.121941,-35.401976,10,0,0
149.131941,-35.401976,10,0,0
149.141941,-35.401976,10,0,0
149.151941,-35.401976,10,0,0
149.161941,-35.401976,10,0,0
149.171941,-35.401976,10,0,0
149.181941,-35.401976,10,0,0
149.191941,-35.401976,10,0,0
149.201941,-35.401976,10,0,0
149.211941,-35.401976,10,0,0
149.221941,-35.401976,10,0,0
148.931941,-35.391976,10,0,0
148.941941,-35.391976,10,0,0
148.951941,-35.391976,10,0,0
148.961941,-35.391976,10,0,0
148.971941,-35.391976,10,0,0
148.981941,-35.391976,10,0,0
148.991941,-35.391976,10,0,0
149.001941,-35.391976,10,0,0
149.011941,-35.391976,10,0,0
149.021941,-35.391976,10,0,0
149.031941,-35.391976,10,0,0
149.041941,-35.391976,10,0,0
149.051941,-35.391976,10,0,0
149.061941,-35.391976,10,0,0
149.071941,-35.391976,10,0,0
149.081941,-35.391976,10,0,0
149.091941,-35.391976,10,0,0
149.101941,-35.391976,10,0,0
149.111941,-35.391976,10,0,0
149.121941,-35.391976,10,0,0
149.131941,-35.391976,10,0,0
149.141941,-35.391976,10,0,0
149.151941,-35.391976,10,0,0
149.161941,-35.391976,10,0,0
149.171941,-35.391976,10,0,0
149.181941,-35.391976,10,0,0
149.191941,-35.391976,10,0,0
149.201941,-35.391976,10,0,0
149.211941,-35.391976,10,0,0
149.221941,-35.391976,10,0,0
148.931941,-35.381976,10,0,0
148.941941,-35.381976,10,0,0
148.951941,-35.381976,10,0,0
148.961941,-35.381976,10,0,0
148.971941,-35.381976,10,0,0
148.981941,-35.381976,10,0,0
148.991941,-35.381976,10,0,0
149.001941,-35.381976,10,0,0
149.011941,-35.381976,10,0,0
149.021941,-35.381976,10,0,0
149.031941,-35.381976,10,0,0
149.041941,-35.381976,10,0,0
149.051941,-35.381976,10,0,0
149.061941,-35.381976,10,0,0
149.071941,-35.381976,10,0,0
149.081941,-35.381976,10,0,0
149.091941,-35.381976,10,0,0
149.101941,-35.381976,10,0,0
149.111941,-35.381976,10,0,0
149.121941,-35.381976,10,0,0
149.131941,-35.381976,10,0,0
149.141941,-35.381976,10,0,0
149.151941,-35.381976,10,0,0
149.161941,-35.381976,10,0,0
149.171941,-35.381976,10,0,0
149.181941,-35.381976,10,0,0
149.191941,-35.381976,10,0,0
149.201941,-35.381976,10,0,0
149.211941,-35.381976,10,0,0
149.221941,-35.381976,10,0,0
148.931941,-35.371976,10,0,0
148.941941,-35.371976,10,0,0
148.951941,-35.371976,10,0,0
148.961941,-35.371976,10,0,0
148.971941,-35.371976,10,0,0
148.981941,-35.371976,10,0,0
148.991941,-35.371976,10,0,0
149.001941,-35.371976,10,0,0
149.011941,-35.371976,10,0,0
149.021941,-35.371976,10,0,0
149.031941,-35.371976,10,0,0
149.041941,-35.371976,10,0,0
149.051941,-35.371976,10,0,0
149.061941,-35.371976,10,0,0
149.071941,-35.371976,10,0,0
149.081941,-35.371976,10,0,0
149.091941,-35.371976,10,0,0
149.101941,-35.371976,10,0,0
149.111941,-35.371976,10,0,0
149.121941,-35.371976,10,0,0
149.131941,-35.371976,10,0,0
149.141941,-35.371976,10,0,0
149.151941,-35.371976,10,0,0
149.161941,-35.371976,10,0,0
149.171941,-35.371976,10,0,0
149.181941,-35.371976,10,0,0
149.191941,-35.371976,10,0,0
149.201941,-35.371976,10,0,0
149.211941,-35.371976,10,0,0
149.221941,-35.371976,10,0,0
148.931941,-35.361976,10,0,0
148.941941,-35.361976,10,0,0
148.951941,-35.361976,10,0,0
148.961941,-35.361976,10,0,0
148.971941,-35.361976,10,0,0
148.981941,-35.361976,10,0,0
148.991941,-35.361976,10,0,0
149.001941,-35.361976,10,0,0
149.011941,-35.361976,10,0,0
149.021941,-35.361976,10,0,0
149.031941,-35.361976,10,0,0
149.041941,-35.361976,10,0,0
149.051941,-35.361976,10,0,0
149.061941,-35.361976,10,0,0
149.071941,-35.361976,10,0,0
149.081941,-35.361976,10,0,0
149.091941,-35.361976,10,0,0
149.101941,-35.361976,10,0,0
149.111941,-35.361976,10,0,0
149.121941,-35.361976,10,0,0
149.131941,-35.361976,10,0,0
149.141941,-35.361976,10,0,0
149.151941,-35.361976,10,0,0
149.161941,-35.361976,10,0,0
149.171941,-35.361976,10,0,0
149.181941,-35.361976,10,0,0
149.191941,-35.361976,10,0,0
149.201941,-35.361976,10,0,0
149.211941,-35.361976,10,0,0
149.221941,-35.361976,10,0,0
148.931941,-35.351976,10,0,0
148.941941,-35.351976,10,0,0
148.951941,-35.351976,10,0,0
148.961941,-35.351976,10,0,0
148.971941,-35.351976,10,0,0
148.981941,-35.351976,10,0,0
148.991941,-35.351976,10,0,0
149.001941,-35.351976,10,0,0
149.011941,-35.351976,10,0,0
149.021941,-35.351976,10,0,0
149.031941,-35.351976,10,0,0
149.041941,-35.351976,10,0,0
149.051941,-35.351976,10,0,0
149.061941,-35.351976,10,0,0
149.071941,-35.351976,10,0,0
149.081941,-35.351976,10,0,0
149.091941,-35.351976,10,0,0
149.101941,-35.351976,10,0,0
149.111941,-35.351976,10,0,0
149.121941,-35.351976,10,0,0
149.131941,-35.351976,10,0,0
149.141941,-35.351976,10,0,0
149.151941,-35.351976,10,0,0
149.161941,-35.351976,10,0,0
149.171941,-35.351976,10,0,0
149.181941,-35.351976,10,0,0
149.191941,-35.351976,10,0,0
149.201941,-35.351976,10,0,0
149.211941,-35.351976,10,0,0
149.221941,-35.351976,10,0,0
148.931941,-35.341976,10,0,0
148.941941,-35.341976,10,0,0
148.951941,-35.341976,10,0,0
148.961941,-35.341976,10,0,0
148.971941,-35.341976,10,0,0
148.981941,-35.341976,10,0,0
148.991941,-35.341976,10,0,0
149.001941,-35.341976,10,0,0
149.011941,-35.341976,10,0,0
149.021941,-35.341976,10,0,0
149.031941,-35.341976,10,0,0
149.041941,-35.341976,10,0,0
149.051941,-35.341976,10,0,0
149.061941,-35.341976,10,0,0
149.071941,-35.341976,10,0,0
149.081941,-35.341976,10,0,0
149.091941,-35.341976,10,0,0
149.101941,-35.341976,10,0,0
149.111941,-35.341976,10,0,0
149.121941,-35.341976,10,0,0
149.131941,-35.341976,10,0,0
149.141941,-35.341976,10,0,0
149.151941,-35.341976,10,0,0
149.161941,-35.341976,10,0,0
149.171941,-35.341976,10,0,0
149.181941,-35.341976,10,0,0
149.191941,-35.341976,10,0,0
149.201941,-35.341976,10,0,0
149.211941,-35.341976,10,0,0
149.221941,-35.341976,10,0,0
148.931941,-35.331976,10,0,0
148.941941,-35.331976,10,0,0
148.951941,-35.331976,10,0,0
148.961941,-35.331976,10,0,0
148.971941,-35.331976,10,0,0
148.981941,-35.331976,10,0,0
148.991941,-35.331976,10,0,0
149.001941,-35.331976,10,0,0
149.011941,-35.331976,10,0,0
149.021941,-35.331976,10,0,0
149.031941,-35.331976,10,0,0
149.041941,-35.331976,10,0,0
149.051941,-35.331976,10,1,1
149.061941,-35.331976,10,0,0
149.071941,-35.331976,10,0,0
149.081941,-35.331976,10,0,0
149.091941,-35.331976,10,0,0
149.101941,-35.331976,10,0,0
149.111941,-35.331976,10,0,0
149.121941,-35.331976,10,0,0
149.131941,-35.331976,10,0,0
149.141941,-35.331976,10,0,0
149.151941,-35.331976,10,0,0
149.161941,-35.331976,10,0,0
149.171941,-35.331976,10,1,1
149.181941,-35.331976,10,1,1
149.191941,-35.331976,10,0,0
149.201941,-35.331976,10,0,0
149.211941,-35.331976,10,0,0
149.221941,-35.331976,10,0,0
148.931941,-35.321976,10,0,0
148.941941,-35.321976,10,0,0
148.951941,-35.321976,10,0,0
148.961941,-35.321976,10,0,0
148.971941,-35.321976,10,0,0
148.981941,-35.321976,10,0,0
148.991941,-35.321976,10,0,0
149.001941,-35.321976,10,0,0
149.011941,-35.321976,10,0,0
149.021941,-35.321976,10,0,0
149.031941,-35.321976,10,0,0
149.041941,-35.321976,10,0,0
149.051941,-35.321976,10,0,0
149.061941,-35.321976,10,0,0
149.071941,-35.321976,10,0,0
149.081941,-35.321976,10,0,0
149.091941,-35.321976,10,0,0
149.101941,-35.321976,10,0,0
149.111941,-35.321976,10,0,0
149.121941,-35.321976,10,0,0
149.131941,-35.321976,10,0,0
149.141941,-35.321976,10,0,0
149.151941,-35.321976,10,0,0
149.161941,-35.321976,10,0,0
149.171941,-35.321976,10,0,0
149.181941,-35.321976,10,0,0
149.191941,-35.321976,10,0,0
149.201941,-35.321976,10,0,0
149.211941,-35.321976,10,0,0
149.221941,-35.321976,10,0,0
148.931941,-35.311976,10,0,0
148.941941,-35.311976,10,0,0
148.951941,-35.311976,10,0,0
148.961941,-35.311976,10,0,0
148.971941,-35.311976,10,0,0
148.981941,-35.311976,10,0,0
148.991941,-35.311976,10,0,0
149.001941,-35.311976,10,0,0
149.011941,-35.311976,10,0,0
149.021941,-35.311976,10,0,0
149.031941,-35.311976,10,0,0
149.041941,-35.311976,10,0,0
149.051941,-35.311976,10,0,0
149.061941,-35.311976,10,0,0
149.071941,-35.311976,10,0,0
149.081941,-35.311976,10,0,0
149.091941,-35.311976,10,0,0
149.101941,-35.311976,10,0,0
149.111941,-35.311976,10,0,0
149.121941,-35.311976,10,0,0
149.131941,-35.311976,10,0,0
149.141941,-35.311976,10,1,1
149.151941,-35.311976,10,0,0
149.161941,-35.311976,10,0,0
149.171941,-35.311976,10,0,0
149.181941,-35.311976,10,0,0
149.191941,-35.311976,10,0,0
149.201941,-35.311976,10,0,0
149.211941,-35.311976,10,0,0
149.221941,-35.311976,10,0,0
148.931941,-35.301976,10,0,0
148.941941,-35.301976,10,0,0
148.951941,-35.301976,10,0,0
148.961941,-35.301976,10,0,0
148.971941,-35.301976,10,0,0
148.981941,-35.301976,10,0,0
148.991941,-35.301976,10,0,0
149.001941,-35.301976,10,0,0
149.011941,-35.301976,10,0,0
149.021941,-35.301976,10,0,0
149.031941,-35.301976,10,0,0
149.041941,-35.301976,10,0,0
149.051941,-35.301976,10,0,0
149.061941,-35.301976,10,0,0
149.071941,-35.301976,10,0,0
149.081941,-35.301976,10,0,0
149.091941,-35.301976,10,0,0
149.101941,-35.301976,10,1,1
149.111941,-35.301976,10,0,0
149.121941,-35.301976,10,0,0
149.131941,-35.301976,10,1,1
149.141941,-35.301976,10,0,0
149.151941,-35.301976,10,0,0
149.161941,-35.301976,10,0,0
149.171941,-35.301976,10,0,0
149.181941,-35.301976,10,0,0
149.191941,-35.301976,10,0,0
149.201941,-35.301976,10,0,0
149.211941,-35.301976,10,0,0
149.221941,-35.301976,10,0,0
148.931941,-35.291976,10,0,0
148.941941,-35.291976,10,0,0
148.951941,-35.291976,10,0,0
148.961941,-35.291976,10,0,0
148.971941,-35.291976,10,0,0
148.981941,-35.291976,10,0,0
148.991941,-35.291976,10,0,0
149.001941,-35.291976,10,0,0
149.011941,-35.291976,10,0,0
149.021941,-35.291976,10,0,0
149.031941,-35.291976,10,0,0
149.041941,-35.291976,10,0,0
149.051941,-35.291976,10,0,0
149.061941,-35.291976,10,0,0
149.071941,-35.291976,10,0,0
149.081941,-35.291976,10,0,0
149.091941,-35.291976,10,0,0
149.101941,-35.291976,10,0,0
149.111941,-35.291976,10,0,0
149.121941,-35.291976,10,0,0
149.131941,-35.291976,10,0,0
149.141941,-35.291976,10,0,0
149.151941,-35.291976,10,0,0
149.161941,-35.291976,10,0,0
149.171941,-35.291976,10,0,0
149.181941,-35.291976,10,0,0
149.191941,-35.291976,10,0,0
149.201941,-35.291976,10,0,0
149.211941,-35.291976,10,0,0
149.221941,-35.291976,10,0,0
148.931941,-35.281976,10,0,0
148.941941,-35.281976,10,0,0
148.951941,-35.281976,10,0,0
148.961941,-35.281976,10,0,0
148.971941,-35.281976,10,0,0
148.981941,-35.281976,10,0,0
148.991941,-35.281976,10,0,0
149.001941,-35.281976,10,0,0
149.011941,-35.281976,10,0,0
149.021941,-35.281976,10,0,0
149.031941,-35.281976,10,0,0
149.041941,-35.281976,10,0,0
149.051941,-35.281976,10,0,0
149.061941,-35.281976,10,0,0
149.071941,-35.281976,10,0,0
149.081941,-35.281976,10,0,0
149.091941,-35.281976,10,0,0
149.101941,-35.281976,10,0,0
149.111941,-35.281976,10,0,0
149.121941,-35.281976,10,3,1
149.131941,-35.281976,10,1,1
149.141941,-35.281976,10,0,0
149.151941,-35.281976,10,0,0
149.161941,-35.281976,10,0,0
149.171941,-35.281976,10,0,0
149.181941,-35.281976,10,0,0
149.191941,-35.281976,10,0,0
149.201941,-35.281976,10,0,0
149.211941,-35.281976,10,0,0
149.221941,-35.281976,10,0,0
148.931941,-35.271976,10,0,0
148.941941,-35.271976,10,0,0
148.951941,-35.271976,10,0,0
148.961941,-35.271976,10,0,0
148.971941,-35.271976,10,0,0
148.981941,-35.271976,10,0,0
148.991941,-35.271976,10,0,0
149.001941,-35.271976,10,0,0
149.011941,-35.271976,10,0,0
149.021941,-35.271976,10,0,0
149.031941,-35.271976,10,0,0
149.041941,-35.271976,10,0,0
149.051941,-35.271976,10,0,0
149.061941,-35.271976,10,0,0
149.071941,-35.271976,10,0,0
